Operator,# Args,Tags,Type,Authors,BDay,Description
"jackwu_dual(ret,ret_ind,ind,stock_pctg=0.5,subindustry_pctg=0.5,weight_method='dret',rank_method='within_group',weight_params=0)",Ternary,Combination,global,jackwu,20170906,"This operator combines short-term stock reversal and subindustry momentum (stronger in EU/JP, Sector/Market, Delay 0). It sorts stocks within each subindustries based on -ret, and then, it also sorts subindustries based on industry-average ret. Finally, by default, it longs the top 50% stocks in the top 50% subindustries, and vice versa."
"jackwu_AnnResponse(input,trading_days_til_next_ann,ind,lookback=70)",Unary,"Earnings, Event",global,jackwu,20170906,"There are papers document the reaction of a stock's price related to earlier earning announcements of peer stocks.

This operator will compute the cumulative value of the input around a user specified window in its peers' earnings announcement period.

The first input is the variable whose values will be summed up. The second input must be variables that represent the number of days until earnings announcements (or some other event like dividend paydate). The third input is the industry classification. The fourth input is the lookback window.

In the following example call, it first sums up the stock's return for the last five days only when there exist at least one stock in the same sector that are having earning announcements. Let's call it response return (a response for peer stocks' earning announcements). Then, this alpha assigns position based on negative response return 3 days before its own earning announcements, and assigns position based on response return 3 days after its own earning announcements."
"jackwu_ts_corrs(input1,input2,days,condition,atnan2zero)",Ternary,,global,jackwu,20170817,"This operator allows you to calculate correlation between 2 variables differently by conditioning on certain restrictions.

For example, there are papers that support downside beta is a better measure than market beta. The following alpha calculates the downside correlation between stock and SPX index, with a 21 lookback days: (downside means the market is down today, which is specified by ret1_SPX<0)"
"jackwu_rank_industry(input,industry_grouping,method='min')",,,global,,,"This operator is designed to rank alpha within industries.

The first input is the alpha you want to rank. The second is the industry classification variable. The third input is the ranking method."
"jackwu_double_sort(primary_alpha,alternative_alpha)",Binary,"Combination, Relative value, Cross sectional",global,jackwu,20170811,"This operator is designed to double sort alphas. It first sorts stock based on the primary alpha. If the primary alpha has the same value, then it sorts stock based on the alternative alpha. When the primary alpha is discrete, it also helps to slow down the primary alpha.

The first input is the primary alpha you want to bet on. The second input is the alternative alpha."
"wdeng_ts_macd(input, lookback1, lookback2)",Unary,"Technical, Time series",global,wdeng,20170816,This operator calculates the moving average convergence divergence (MACD) of the input variable with the exponential moving average calculated in the specified lookback windows.
"wdeng_ts_macd_signal(input, lookback1, lookback2, lookback_signal)",Unary,"Technical, Time series",global,wdeng,20170816,This operator calculates the moving average convergence divergence (MACD) signal of the input variable with the exponential moving average calculated in the specified lookback windows.
"wdeng_ts_macd_histogram(input, lookback1, lookback2, lookback_signal)",Unary,"Technical, Time series",global,wdeng,20170816,This operator calculates the moving average convergence divergence (MACD) histogram of the input variable with the exponential moving average calculated in the specified lookback windows.
"wdeng_ts_rsi(input, lookback)",Unary,"Technical, Time series",global,wdeng,20170821,This operator calculates the relative strength index (RSI) of the input variable in the specified lookback window.
"wdeng_ts_zscore_x_days(input, lookback, x_days)",Unary,Time series,global,wdeng,20180102,This operator calculates the zscore of the input variable across the same kinds of days in the specified lookback window.
"wdeng_ts_rank_x_days(input, lookback, x_days)",Unary,Time series,global,wdeng,20180102,This operator calculates the rank of the input variable across the same kinds of days in the specified lookback window.
"wdeng_ts_median_x_days(input, lookback, x_days)",Unary,Time series,global,wdeng,20180102,This operator calculates the median of the input variable across the same kinds of days in the specified lookback window.
"wdeng_ts_mean_x_days(input, lookback, x_days)",Unary,Time series,global,wdeng,20180102,This operator calculates the mean of the input variable across the same kinds of days in the specified lookback window.
"wdeng_ts_std_x_days(input, lookback, x_days)",Unary,Time series,global,wdeng,20180102,This operator calculates the standard deviation of the input variable across the same kinds of days in the specified lookback window.
"wdeng_ts_skew_x_days(input, lookback, x_days)",Unary,Time series,global,wdeng,20180102,This operator calculates the skewness of the input variable across the same kinds of days in the specified lookback window.
"wdeng_ts_corr_binary_x_days(input1, input2, lookback, x_days)",Binary,Time series,global,wdeng,20180102,This operator calculates the stock level correlation of the two input variables across the same kinds of days in the specified lookback window.
"jzhou_cxi_ts_zscore_overreact(input, tsz_lookback, ts_mean_exp_lookback, ts_mean_exp_decay, invert_scalar=1.2)",Unary,Time series,global,"jzhou, cxi",20190404,This operator is a variant of ts_zscore that will invert the positions of the z-score after the first day.
"jzhou_ts_seasonal_returns(input,days_var,offset,window_length,num_repeats_to_avg)",Unary,"Time series, Seasonal",global,jzhou,20190320,Operator is designed to compute the average returns of a similar seasonal time period in the past.
"jcho_jzhou_sparse_dot(input, relationship_var ,normalize_outgoing ,normalize_incoming ,transpose)",Binary,"Relative value, Cross sectional",global,"jcho, jzhou",20180822,This is a fast way to aggregate input values according to a relationship.
"jzhou_lye_mulNMF([features],components,pos_transform=""logistic"")",,,global,jzhou,20180523,Calculates Non-Negative Matrix Factorization of input factors.
"jzhou_lye_mulpca([features],components, preprocess=""normalized"",princompweight=""variance"")",,,global,jzhou,20180523,This operator calculates principal components of different input factors.
"jzhou_prev_ann_avg(input,days_since_event,days_until_event,prev_event_start_idx,prev_event_window_length,curr_event_start_idx,curr_event_window_length)",Ternary,Event,global,jzhou,20170808,This operator will compute the average value of the input around a user specified window around the previous earnings announcement period. It will set alpha positions equal to this value for a user specified window around the current earnings announcement period.
"jzhou_cs_indneut_keepsign(input,grouping_var)",Unary,"Relative value, Cross sectional",global,jzhou,20170803,The purpose of this operator is to preserve the sign of the input matrix while doing industry neutralization
