Operator,# Args,Tags,Type,Authors,BDay,Description
"ts_norm(A, days)",Unary,Time series,builtin,,,"Center data with the average value in the past days

Scales the data by dividing by the average value: A[:,day] /= np.nanmean(A[:,day-days:day])"
"ts_std_normalized(A, days)",Unary,Time series,builtin,,,"Standardize today's values

Divides today's value by the standard deviation of the finite values in the last days"
"ts_zscore(A, days)",Unary,Time series,builtin,,,Normalize today's values by centering and standardizing
"op_vmcont(input, universe, close, vol20, maxtrd=0.03, maxpos=0.3)",,,builtin,,,This operator constraints the amount that the input portfolio can trade per day based off of the average daily notional traded per stock.
"op_locate(input, locates, rebates, close, locate_utilization_rate, max_rebate_rate)",,,builtin,,,This operator accounts for the availability and cost of borrowing stocks. Returns a portfolio for which we can get the short positions.
"jzhou_tpark_neb_flipper(input,cond_var,lookback,threshold,invert_flag)",Binary,Flipper,global,"jzhou, tpark",20210312,Operator used to invert portfolio when concentration of conditioning variable is increasing or decreasing
"nelango52_pv_kp_jh_ne_mm_ts_factorneut(input,neut_mat,lb)",Binary,Time series,global,nelango52,20210615,Operator used to neutralize input with the neut_mat on time axis
"jzhou_tpark_cxi_autocorr(input,lookback)",Unary,Flipper,global,"jzhou, tpark, cxi",20210309,Operator used to compute and bet on the autocorrelation of an input variable within some lookback
"jzhou_tpark_fchen_intradayvolaflipper(input,cond_var,threshold)",,Earnings,global,"jzhou, tpark, fchen",20210308,Operator used to flip an input variable based on the cross sectional z-score of a conditional var
"jzhou_tpark_jackwu_flipretstd(input,return_var,std_lookback,zscore_lookback)",Binary,Earnings,global,"jzhou, tpark, jackwu",20210308,Operator used to flip an input variable or portfolio based on increasing or decreasing volatility computed using a return variable
"jzhou_tpark_edgar8k901_flipper(input,filing_var,hold_days)",Binary,"Flipper, Event",global,"jzhou, tpark",20210310,Operator used to flip an input variable when an event occurs
"jzhou_tpark_volume_flipper(input,volume_var,lookback,threshold)",Binary,Flipper,global,jzhou,20210309,Operator used to flip an input variable based on volume
"jzhou_tpark_fchen_avgcorr_flipper(input,corr_var,threshold)",Binary,"Relative value, Flipper",global,"jzhou, tpark, fchen",20210309,Operator used to flip an input variable based on average pairwise correlation of stock
"kprakash_pv_jh_ne_mm_double_sort_bin(alpha1,alpha2,bins)",Binary,"Relative value, Cross sectional",global,kprakash,20210615,"This operator is designed to double sort alphas by binning the values. It first sorts stock based on the primary alpha, and then the sorted values are distributed into a number of buckets or bins. For each bin, it sorts stock based on the alternative alpha.
The first input is the primary alpha you want to bet on. The second input is the alternative alpha."
"jzhou_tpark_tszret_flipper(input,return_var,lookback,threshold)",Binary,"Time series, Flipper",global,"jzhou, tpark",20210310,Operator used to flip an input variable based on acceleration or deceleration of returns
"jzhou_tpark_cxi_group_leadlag(input,group,lookback,threshold)",Binary,Relative value,global,"jzhou, tpark, cxi",20210309,Lead-lag operator. Computes correlation between stock input variable value and group average input variable value within some lookbacks. Leaders defined as stocks with high correlation between stock value today and group value tomorrow. Laggers defined as stocks with higher correlation between group value today and stock value tomorrow. Bet on input for laggers and -input for leaders.
"jzhou_tpark_fchen_dayofmonthflipper(input,days_since_var,days_til_var,threshold_days)",Ternary,"Earnings, Seasonal",global,"jzhou, tpark, fchen",20210308,Operator used to flip an input variable or portfolio based on proximity to or from an event
"jzhou_tpark_dayssinceannflipper(input,days_since_var,threshold_days)",Binary,"Earnings, Event",global,"jzhou, tpark",20210308,Operator used to flip an input variable or portfolio based on proximity to or from an event
"jzhou_tpark_news_flipper(input,news_var,lookback,threshold)",Binary,"Flipper, Event",global,jzhou,20210309,Operator used to flip an input variable based on news volume
"jzhou_tpark_fchen_mktcapflipper(input,shsout_var,close_var,threshold)",,Earnings,global,"jzhou, tpark, fchen",20210308,Operator used to flip an input variable based on market capitalization of a stock
"akaran_HPCA(var,group,universe,days_since_first_trading_day_of_year,rf,lb,wt=1.0,num_vec=1,eig_val_weighted=False)",Ternary,"Combination, Relative value",global,akaran,20210609,Hierarchical Principal Components Analysis. Returns the first n (num_vec) principal components computed from a noise reduced Covariance matrix built using group (industry/subindustry/sector/etc.) information. (Link to paper: https://arxiv.org/pdf/2010.04140.pdf)
"pvardhan_kp_jh_ne_mm_corr_flipper(corr_var,input,lookback=252)",Binary,Flipper,global,pvardhan,20210615,Operator used to flip an input variable based on corr_var’s correlation to its 1-day delayed version.
"wdeng_ts_ret_abs_atan(input, lookback)",Unary,Time series,global,wdeng,20210609,"This operator calculates the return, i.e., the relative change, compared to the value N days ago, where N is specified by the lookback argument, for the input variable/portfolio, with modifications to handle 2 special cases where a simple calculation ""input/ts_delay(input,N)-1"" may give an unintended result:
1. When the value N days ago is negative, for example, a stock's EPS changes from -1 to 1, which should be good news, the simple calculation mentioned above gives a negative number. This operator, however, gives a positive number in this case. And in general, this operator's output sign is always consistent with the input change direction.
2. When the value N days ago is very close to 0, for example, a stock's EPS changes from 0.01 to 1, the simple calculation mentioned above gives a large number that may cause unintended position concentration in the output portfolio. This operator, however, uses a soft cap (atan function) to cap the output to be in the range of (-pi, pi)."
"hgupta_kkumar_ts_trix(input,lookback)",Unary,Technical,global,,,This operator calculates the Triple Exponential Average (TRIX) of the input variable in the specified lookback window.
"ctseng_wdeng_ryadav_mhuang_extract_component(input, factors, exposure_factors, last_N_days=None, mode='cs_rank')",Multi-input,Relative value,global,ctseng,20210614,"Operator used to extract components of certain factors. For example,
it can be used to extract momentum components of any expressions."
"jzhou_tpark_jackwu_flipabscloseratio(input,price_var,lookback)",Binary,Earnings,global,"jzhou, tpark, jackwu",20210308,Operator used to flip an input variable or portfolio based on increasing or decreasing volatility as computed on a price variable
"zliu_xdu_mhuang_return_forecast_vector(preA, ret1, lookback = 126, tvalue_thres = 1.5) ",Binary,"Regression, Time series",global,zliu,20210602,Regress the feature to make return predictions with high t-values confidence.
"jzhou_tpark_shortsqueeze(input, shortint_var, per_thres)",Binary,Post processing,global,"jzhou, tpark",20210309,Operator used to zero out bets of input portfolio for high short interest stocks
"akaran_Pairs_Trading(factor,days_since_first_trading_day_of_year,rf=63,lb=252,corr_pairs=0.75,tlr=2)",Unary,"Relative value, Cross sectional",global,akaran,20210614,The operator identifies pairs based on input and takes position in stocks on the hypothesis that they will revert to mean. The pairs are identified on the basis of the correlation of the input variable factor.
"jzhou_tpark_VIX_flipper(input,idx_input,lookback,threshold)",Binary,"Relative value, Flipper",global,"jzhou, tpark",20210310,Operator used to flip an input variable based on increasing or decreasing macro index values
"jzhou_tpark_fchen_mornaftervolmflipper(input,numerator_var,denominator_var,ratio_threshold)",Ternary,Earnings,global,"jzhou, tpark, fchen",20210308,Operator used to flip an input variable or portfolio based on the ratio value between two different variables
"jzhou_tpark_tsskewret_flipper(input,return_var,lookback,threshold)",Binary,"Time series, Flipper",global,"jzhou, tpark",20210310,Operator used to flip an input variable based on skewness of returns
"jzhou_tpark_jackwu_SPYcorr_flipper(input,idx_input,lookback)",Binary,"Relative value, Flipper",global,"jzhou, tpark, jackwu",20210309,Operator used to flip an input variable based on correlation with an index variable
"jzhou_tpark_univentryexit(input_var, cond_var, per_thres_entry, entry_exit_buffer_thres, invert_cond_var)",Binary,,global,jzhou,20210317,Operator used to condition bets of input portfolio on cross sectional rank of conditioning variable. A spread between entry and exit conditions is imposed to minimize flickering into and out of valid universe.
"jzhou_tpark_jackwu_mornaftervolmcorr(input,morning_var,afternoon_var,lookback)",Ternary,Flipper,global,"jzhou, tpark, jackwu",20210310,Operator used to bet on correlation between input and spread between two intraday variables
"wdeng_ts_scale(input, lookback)",Unary,Time series,global,wdeng,20210609,"This operator takes in a numstocks x numdates 2D matrix, and scales every matrix element to be between 1 and 2 based on the element's relative position in its historical range in the lookback period. A value equaling the minimum value in the lookback period will be scaled to 1. A value equaling the maximum value in the lookback period will be scaled to 2. Other values will be scaled proportionally."
"jzhou_tpark_dayofweekflipper(input,day_of_the_week,days_threshold)",Binary,"Earnings, Seasonal",global,"jzhou, tpark",20210308,Operator used to flip an input variable or portfolio based on proximity to or from an event
"jzhou_tpark_tszretmorn_flipper(input,return_morning_var,lookback,threshold)",Binary,"Time series, Flipper",global,"jzhou, tpark",20210310,Operator used to flip an input variable based on increasing or decreasing return morning
"k, b, y_hat, e = cxi_ts_detrend(sig, lookback)",Unary,"Regression, Time series",global,cxi,20190917,"Detrend operator in time series, which is subtracting a best-fit line (in the least-squares sense) from your data."
"cokurtosis = cxi_ts_cokurtosis(sigA, sigB, lookback, type=0)",Ternary,Time series,global,cxi,20190917,Co-kurtosis operator in time series.
"coskewness = cxi_ts_coskewness(sigA, sigB, sigC, lookback)",Ternary,Time series,global,cxi,20190917,Co-skewness operator in time series.
"alpha =ctseng_make_excess_var_USA(var, barra_volatility, barra_momentum,barra_size, barra_sizenonl, barra_tradeact, barra_growth,barra_earnyld, barra_value, barra_earnvar, barra_leverage,barra_currsen, barra_yield, barra_nonestu, barra_ind1_id,barra_ind2_id, barra_ind3_id, barra_ind4_id, barra_ind5_id,barra_ind1_rev, barra_ind2_rev, barra_ind3_rev, barra_ind4_rev,barra_ind5_rev)",,,global,ctseng,20220218,"An operator used to make an excess version of a certain alpha
expression. For example, it can be used to make ret1_excess from ret1."
"alpha =ctseng_make_excess_var_EU(var, barra_beta, barra_momentum,barra_resvol, barra_size, barra_earnyild, barra_btop, barra_divyild,barra_liquidty, barra_sizenl, barra_leverage, barra_growth, barra_ind,barra_country, barra_isocurr, barra_market)",,,global,ctseng,20220218,"An operator used to make an excess version of a certain alpha
expression. For example, it can be used to make ret1_excess from ret1."
"alpha =ctseng_make_excess_var_ASIA(var, barra_strevrsl, barra_beta,barra_nk225, barra_size, barra_resvol, barra_liquidty, barra_momentum,barra_sizenl, barra_leverage, barra_value, barra_macrosen,barra_ltrevrsl, barra_forgnsen, barra_sentimnt, barra_earnyld,barra_managmnt, barra_indmom, barra_growth, barra_quality,barra_prospect, barra_ind1_id, barra_ind2_id, barra_ind3_id,barra_ind4_id, barra_ind5_id, barra_ind1_rev, barra_ind2_rev,barra_ind3_rev, barra_ind4_rev, barra_ind5_rev,barra_country)",,,global,ctseng,20220218,"An operator used to make an excess version of a certain alpha
expression. For example, it can be used to make ret1_excess from ret1."
"zliu_szhou_yl2151_imajer_rkumar75_trading_days_count_clean(event_var, all_busdays, dates)",,Event,global,"zliu, yl2151, zliu, szhou, imajer, rkumar75",20230411,"This operator generates the trading days variables from the future event happening dates. We have some future event dates variables that cannot be directly used in alpha generation, like the following one in the future spaces:

                raise Exception(re_econ_US_Initial_Jobless_Clm_NextDate[-20:])
                Exception: [ 0 20181213 20181213 0 0 20181220 20181220 0
                0 0 20181227 20181227 0 0 0 20190103
                20190103 0 0 20190110]

To make it useful to make alphas, we would need to transfer it to be the format with trading days type variables that would indicate how many trading days are between the current date and the future date. By calling the operator, we would get the following counts of the trading days:

raise Exception(zliu_szhou_yl2151_imajer_rkumar75_trading_days_count_clean(re_econ_US_Initial_Jobless_Clm_NextDate, busdays
_fut, dates)[-20:])
Exception: [0 3 2 1 0 4 3 2 1 0 4 3 2 1 0 3 2 1 0 3]
"
"snarang73_ts_cci(input_data,days,cci_constant)",,Time series,global,snarang73,20230328,"The Commodity Channel Index (CCI) is a technical analysis indicator that is used to help identify overbought and oversold conditions in financial markets. The CCI operator calculates the difference between the current price of an asset and its average price over a specified period of time. The CCI operator can be used on a variety of financial data, including stocks, commodities, and currencies. It is particularly useful in volatile markets where price fluctuations can be significant. Traders can use the CCI to identify potential buying and selling opportunities.                                                              
When the CCI value is above zero, it indicates that the asset is in an uptrend and when the CCI value is below zero, it indicates a downtrend. Traders can also look for divergences between the CCI and price movement to identify potential trend reversals.       
This operator calculates the commodity channel index of a given time series data variable.                                         
"
"yyoo_corr_relation(ret1_excess,ret1,days_until_last_trading_day_of_month==0,top3000,lb=252,thres=0.5,is_percentile=True)",Multi-input,"Relative value, Cross sectional",global,yyoo,20231202,The operator tries to capture correlation-based relationship momentum signals.
"hgupta_earnings_return(close, trading_days_til_next_ann, fs_next_ann_time <= 1500, from_ = '0days_after', to_ = '1days_after', lookback=5, numevents=1, agg_func=np.nansum, hold=-1)",Binary,"Technical, Time series, Seasonal, Event",global,hgupta,20240402,"Operator used to calculate returns surrounding earnings or any specified event, offering flexibility to analyze multiple events and aggregate their impact. This operator facilitates computation of both price returns and volume returns."
